orga,category,location,motto,,full tweet,length
North Yorkshire,nation / UK counties,England,Stronger by union.,"(North Yorkshire, England)","Stronger by union.
(North Yorkshire, England)",45
American Samoa,nation / US state,US,"Samoa, let God be first.","(American Samoa, US)","Samoa, let God be first.
(American Samoa, US)",45
Ohio,nation / US state,US,"With God, all things are possible.","(Ohio, US)","With God, all things are possible.
(Ohio, US)",45
South Dakota,nation / US state,US,Under God the people rule.,"(South Dakota, US)","Under God the people rule.
(South Dakota, US)",45
Order of Canada,order,,They desired a better land.,(Order of Canada),"They desired a better land.
(Order of Canada)",45
Metropolitan Police Service,public police/service,,Total Policing.,(Metropolitan Police Service),"Total Policing.
(Metropolitan Police Service)",45
Singapore Police Force,public police/service,,Loyalty and Service.,(Singapore Police Force),"Loyalty and Service.
(Singapore Police Force)",45
CR Flamengo,sport,,"Once Flamengo, always Flamengo.",(CR Flamengo),"Once Flamengo, always Flamengo.
(CR Flamengo)",45
Sunderland A.F.C.,sport,,In pursuit of excellence.,(Sunderland A.F.C.),"In pursuit of excellence.
(Sunderland A.F.C.)",45
University of Pune,university,India,He who is industrious is learned.,"(University of Pune, India)","He who is industrious is learned.
(University of Pune, India)",61
University of Rajasthan,university,India,Dharma is the firm foundation upon which the entire universe stands.,"(University of Rajasthan, India)","Dharma is the firm foundation upon which the entire universe stands.
(University of Rajasthan, India)",101
University of Regina,university,Canada,As One Who Serves.,"(University of Regina, Canada)","As One Who Serves.
(University of Regina, Canada)",49
University of Rhode Island,university,US,Think big. We do.,"(University of Rhode Island, US)","Think big. We do.
(University of Rhode Island, US)",50
University of Richmond,university,US,The Word of Life and the Light of Knowledge.,"(University of Richmond, US)","The Word of Life and the Light of Knowledge.
(University of Richmond, US)",73
University of Rochester,university,US,Ever better.,"(University of Rochester, US)","Ever better.
(University of Rochester, US)",42
University of Rostock,university,Germany,Tradition and innovation.,"(University of Rostock, Germany)","Tradition and innovation.
(University of Rostock, Germany)",58
University of Saint Andrews,university,UK,Ever to be the best.,"(University of Saint Andrews, UK)","Ever to be the best.
(University of Saint Andrews, UK)",54
University of Salford,university,UK,Let us seek higher things.,"(University of Salford, UK)","Let us seek higher things.
(University of Salford, UK)",54
University of San Agustin,university,Philippines,Virtue and Science.,"(University of San Agustin, Philippines)","Virtue and Science.
(University of San Agustin, Philippines)",60
University of San Francisco,university,US,For City and University.,"(University of San Francisco, US)","For City and University.
(University of San Francisco, US)",58
University of San Jose – Recoletos,university,Philippines,Love and Knowledge.,"(University of San Jose – Recoletos, Philippines)","Love and Knowledge.
(University of San Jose – Recoletos, Philippines)",69
"University of Santiago, Chile",university,Chile,Work is our joy.,"(University of Santiago, Chile, Chile)","Work is our joy.
(University of Santiago, Chile, Chile)",55
University of Santo Tomas,university,Philippines,Truth in Charity.,"(University of Santo Tomas, Philippines)","Truth in Charity.
(University of Santo Tomas, Philippines)",58
University of São Paulo,university,,Through knowledge you conquer.,(University of São Paulo),"Through knowledge you conquer.
(University of São Paulo)",56
University of Saskatchewan,university,Canada,For God and Country.,"(University of Saskatchewan, Canada)","For God and Country.
(University of Saskatchewan, Canada)",57
University of Science and Technology of China,university,China,"Being Both Politically Sound and Professionally Competent, and Integrating Theory with Practice.","(University of Science and Technology of China, China)","Being Both Politically Sound and Professionally Competent, and Integrating Theory with Practice.
(University of Science and Technology of China, China)",151
University of South Africa,university,South Africa,Learning in Service to Humanity.,"(University of South Africa, South Africa)","Learning in Service to Humanity.
(University of South Africa, South Africa)",75
University of South Carolina,university,US,Learning humanizes character and does not permit it to be cruel.,"(University of South Carolina, US)","Learning humanizes character and does not permit it to be cruel.
(University of South Carolina, US)",99
Victoria University of Wellington,university,New Zealand,Wisdom is desired more than gold.,"(Victoria University of Wellington, New Zealand)","Wisdom is desired more than gold.
(Victoria University of Wellington, New Zealand)",82
140th Aviation ,military,US,Accuracy and Perfection.,"(140th Aviation, US)","Accuracy and Perfection.
(140th Aviation, US)",45
15th Air Base Wing ,military,US,I Pursue with Wings.,"(15th Air Base Wing, US)","I Pursue with Wings.
(15th Air Base Wing, US)",45
17th Aviation Brigade ,military,US,Freedom's Eagles.,"(17th Aviation Brigade, US)","Freedom's Eagles.
(17th Aviation Brigade, US)",45
17th Bombardment Wing ,military,US,Ever Into Danger.,"(17th Bombardment Wing, US)","Ever Into Danger.
(17th Bombardment Wing, US)",45
18th Aviation Battalion ,military,US,Swift Mobility.,"(18th Aviation Battalion, US)","Swift Mobility.
(18th Aviation Battalion, US)",45
319th Field Artillery Regiment ,military,US,Loyalty.,"(319th Field Artillery Regiment, US)","Loyalty.
(319th Field Artillery Regiment, US)",45
33d Aviation Group ,military,US,Pride Courage Valor.,"(33d Aviation Group, US)","Pride Courage Valor.
(33d Aviation Group, US)",45
3d Aviation Regiment ,military,US,We Fight on Wings.,"(3d Aviation Regiment, US)","We Fight on Wings.
(3d Aviation Regiment, US)",45
40th Armor Regiment ,military,US,By Force and Valor.,"(40th Armor Regiment, US)","By Force and Valor.
(40th Armor Regiment, US)",45
46th Aviation Battalion ,military,US,Over and Above.,"(46th Aviation Battalion, US)","Over and Above.
(46th Aviation Battalion, US)",45
528th Artillery Group ,military,US,Pointing the Way.,"(528th Artillery Group, US)","Pointing the Way.
(528th Artillery Group, US)",45
82nd Airborne Division ,military,US,In Air on Land.,"(82nd Airborne Division, US)","In Air on Land.
(82nd Airborne Division, US)",44
Ards,cities,Northern Ireland,Faithful and Brave.,"(Ards, Northern Ireland)","Faithful and Brave.
(Ards, Northern Ireland)",44
Benfleet,cities,England,Fellowship will blossom.,"(Benfleet, England)","Fellowship will blossom.
(Benfleet, England)",44
Chelmsford,cities,England,"Many minds, one heart.","(Chelmsford, England)","Many minds, one heart.
(Chelmsford, England)",44
East Kilbride,cities,Scotland,Prosper but Dreid.,"(East Kilbride, Scotland)","Prosper but Dreid.
(East Kilbride, Scotland)",44
Gdańsk,cities,Europe,Neither rashly nor timidly.,"(Gdańsk, Europe)","Neither rashly nor timidly.
(Gdańsk, Europe)",44
Guildford,cities,England,Bravely and faithfully.,"(Guildford, England)","Bravely and faithfully.
(Guildford, England)",44
Halstead,cities,England,By wisdom and foresight.,"(Halstead, England)","By wisdom and foresight.
(Halstead, England)",44
Llandudno,cities,Wales,Beautiful haven of peace.,"(Llandudno, Wales)","Beautiful haven of peace.
(Llandudno, Wales)",44
Manchester,cities,England,By counsel and labour.,"(Manchester, England)","By counsel and labour.
(Manchester, England)",44
"Orlando, Florida",cities,U.S.,The City Beautiful.,"(Orlando, Florida, U.S.)","The City Beautiful.
(Orlando, Florida, U.S.)",44
Stockport,cities,England,With courage and faith.,"(Stockport, England)","With courage and faith.
(Stockport, England)",44
Wakefield,cities,England,Persevere and Prosper.,"(Wakefield, England)","Persevere and Prosper.
(Wakefield, England)",43
Wyre,cities,England,On either side of the river.,"(Wyre, England)","On either side of the river.
(Wyre, England)",44
Madagascar,nation,,"Love, Ancestral-land, Progress.",(Madagascar),"Love, Ancestral-land, Progress.
(Madagascar)",44
Uzbekistan,nation,,The Strength is in The Justice.,(Uzbekistan),"The Strength is in The Justice.
(Uzbekistan)",44
Vichy France (–),nation,,"Work, Family, Fatherland.",(Vichy France (–)),"Work, Family, Fatherland.
(Vichy France (–))",44
Brecknock,nation / UK counties,Wales,"Unity, peace, prosperity.","(Brecknock, Wales)","Unity, peace, prosperity.
(Brecknock, Wales)",44
Buckinghamshire,nation / UK counties,England,No stepping back.,"(Buckinghamshire, England)","No stepping back.
(Buckinghamshire, England)",44
Caernarfon,nation / UK counties,Wales,The strength of Gwynedd.,"(Caernarfon, Wales)","The strength of Gwynedd.
(Caernarfon, Wales)",44
Clwyd,nation / UK counties,Wales,The shield of justice is God.,"(Clwyd, Wales)","The shield of justice is God.
(Clwyd, Wales)",44
Dunbarton,nation / UK counties,Scotland,Land of the elm trees.,"(Dunbarton, Scotland)","Land of the elm trees.
(Dunbarton, Scotland)",44
Greater Manchester,nation / UK counties,England,Ever Vigilant.,"(Greater Manchester, England)","Ever Vigilant.
(Greater Manchester, England)",44
Hertfordshire,nation / UK counties,England,Trust and fear not.,"(Hertfordshire, England)","Trust and fear not.
(Hertfordshire, England)",44
Montgomery,nation / UK counties,Wales,Powys paradise of Wales.,"(Montgomery, Wales)","Powys paradise of Wales.
(Montgomery, Wales)",44
West Glamorgan,nation / UK counties,Wales,The just are strong.,"(West Glamorgan, Wales)","The just are strong.
(West Glamorgan, Wales)",44
West Yorkshire,nation / UK counties,England,By Effort Achieve.,"(West Yorkshire, England)","By Effort Achieve.
(West Yorkshire, England)",44
Order of Charles III ,order,,By virtue and merit.,(Order of Charles III ),"By virtue and merit.
(Order of Charles III )",44
Order of Leopold II ,order,,Union makes strength.,(Order of Leopold II ),"Union makes strength.
(Order of Leopold II )",44
Carabineros de Chile,public police/service,,Order and Fatherland.,(Carabineros de Chile),"Order and Fatherland.
(Carabineros de Chile)",44
K.A.V. Lovania Leuven,religion,,Always do your best.,(K.A.V. Lovania Leuven),"Always do your best.
(K.A.V. Lovania Leuven)",44
Chicago Fire SC,sport,,Tradition. Honor. Passion.,(Chicago Fire SC),"Tradition. Honor. Passion.
(Chicago Fire SC)",44
University of South Florida,university,US,Truth and Wisdom.,"(University of South Florida, US)","Truth and Wisdom.
(University of South Florida, US)",51
University of Southampton,university,UK,Adversity Yields to Endeavour.,"(University of Southampton, UK)","Adversity Yields to Endeavour.
(University of Southampton, UK)",62
University of Southern California,university,US,Let him who deserves it bear away the palm.,"(University of Southern California, US)","Let him who deserves it bear away the palm.
(University of Southern California, US)",83
University of Southern Queensland,university,Australia,Through study the mind is made new.,"(University of Southern Queensland, Australia)","Through study the mind is made new.
(University of Southern Queensland, Australia)",82
University of St Andrews,university,UK,Ever to be the best.,"(University of St Andrews, UK)","Ever to be the best.
(University of St Andrews, UK)",51
University of Stirling,university,UK,Innovation and excellence.,"(University of Stirling, UK)","Innovation and excellence.
(University of Stirling, UK)",55
University of Strathclyde,university,UK,Place of Useful Learning.,"(University of Strathclyde, UK)","Place of Useful Learning.
(University of Strathclyde, UK)",57
University of Sunderland,university,UK,Sweetly absorbing knowledge.,"(University of Sunderland, UK)","Sweetly absorbing knowledge.
(University of Sunderland, UK)",59
University of Sussex,university,UK,Be Still and Know.,"(University of Sussex, UK)","Be Still and Know.
(University of Sussex, UK)",45
University of Sydney,university,Australia,"The constellations change, but the mind remains the same.","(University of Sydney, Australia)","The constellations change, but the mind remains the same.
(University of Sydney, Australia)",91
University of Tasmania,university,Australia,The field is open to talent.,"(University of Tasmania, Australia)","The field is open to talent.
(University of Tasmania, Australia)",64
University of Teesside,university,UK,Deeds Not Words.,"(University of Teesside, UK)","Deeds Not Words.
(University of Teesside, UK)",45
University of Texas,university,US,"Discipline, the guardian of the state.","(University of Texas, US)","Discipline, the guardian of the state.
(University of Texas, US)",64
University of the Arts London,university,UK,A Creative Constellation.,"(University of the Arts London, UK)","A Creative Constellation.
(University of the Arts London, UK)",61
University of the Assumption,university,Philippines,"Knowledge, Virtue, Community Service.","(University of the Assumption, Philippines)","Knowledge, Virtue, Community Service.
(University of the Assumption, Philippines)",81
University of the Free State,university,South Africa,In Truth is the Light of Wisdom.,"(University of the Free State, South Africa)","In Truth is the Light of Wisdom.
(University of the Free State, South Africa)",77
University of the Highlands & Islands,university,UK,University-level study in the Highlands and Islands.,"(University of the Highlands & Islands, UK)","University-level study in the Highlands and Islands.
(University of the Highlands & Islands, UK)",96
University of the Philippines,university,Philippines,Honor and Excellence.,"(University of the Philippines, Philippines)","Honor and Excellence.
(University of the Philippines, Philippines)",66
21st Aviation Battalion ,military,US,Peace and War.,"(21st Aviation Battalion, US)","Peace and War.
(21st Aviation Battalion, US)",44
31st Aviation Group ,military,US,That We May Serve.,"(31st Aviation Group, US)","That We May Serve.
(31st Aviation Group, US)",44
35th Armor Regiment ,military,US,To Conquer or Die.,"(35th Armor Regiment, US)","To Conquer or Die.
(35th Armor Regiment, US)",44
45th Aviation Battalion ,military,US,We Try Harder.,"(45th Aviation Battalion, US)","We Try Harder.
(45th Aviation Battalion, US)",44
512th Artillery Group ,military,US,Valor About All.,"(512th Artillery Group, US)","Valor About All.
(512th Artillery Group, US)",44
51st Fighter Wing ,military,US,Deftly and Swiftly.,"(51st Fighter Wing, US)","Deftly and Swiftly.
(51st Fighter Wing, US)",43
5th Aviation Regiment ,military,US,Acute and Alert.,"(5th Aviation Regiment, US)","Acute and Alert.
(5th Aviation Regiment, US)",44
6th Air Mobility Wing ,military,US,Ready to Defend.,"(6th Air Mobility Wing, US)","Ready to Defend.
(6th Air Mobility Wing, US)",44
98th Strategic Wing ,military,US,Force for Freedom.,"(98th Strategic Wing, US)","Force for Freedom.
(98th Strategic Wing, US)",44
Auckland,cities,New Zealand,Manliness Prevails.,"(Auckland, New Zealand)","Manliness Prevails.
(Auckland, New Zealand)",43
Canterbury,cities,England,"Hail, Mother England.","(Canterbury, England)","Hail, Mother England.
(Canterbury, England)",43
Cheltenham,cities,England,Health and education.,"(Cheltenham, England)","Health and education.
(Cheltenham, England)",43
Coleraine,cities,Northern Ireland,Cuil Rathain.,"(Coleraine, Northern Ireland)","Cuil Rathain.
(Coleraine, Northern Ireland)",43
Great Dunmow,cities,England,May Dunmow prosper.,"(Great Dunmow, England)","May Dunmow prosper.
(Great Dunmow, England)",43
Haringey,cities,England,Progress With Humanity.,"(Haringey, England)","Progress With Humanity.
(Haringey, England)",43
Łódź,cities,Europe,Big boat out of a small one.,"(Łódź, Europe)","Big boat out of a small one.
(Łódź, Europe)",43
Newham,cities,England,Progress with the People.,"(Newham, England)","Progress with the People.
(Newham, England)",43
Rayleigh,cities,England,We work for the future.,"(Rayleigh, England)","We work for the future.
(Rayleigh, England)",43
Sydney,cities,Australia,I take but I surrender.,"(Sydney, Australia)","I take but I surrender.
(Sydney, Australia)",43
Tameside,cities,England,Industry and integrity.,"(Tameside, England)","Industry and integrity.
(Tameside, England)",43
West Berkshire,cities,England,Forward together.,"(West Berkshire, England)","Forward together.
(West Berkshire, England)",43
AT&T,company,,Rethink Possible.,(AT&T),"Rethink Possible.
(AT&T)",24
Audi,company,,The technical edge.,(Audi),"The technical edge.
(Audi)",26
Algeria,nation,,By the people and for the people.,(Algeria),"By the people and for the people.
(Algeria)",43
Bahamas,nation,,"Forward, Upward, Onward Together.",(Bahamas),"Forward, Upward, Onward Together.
(Bahamas)",43
Honduras,nation,,"Free, sovereign and independent.",(Honduras),"Free, sovereign and independent.
(Honduras)",43
Luxembourg,nation,,We wish to remain what we are.,(Luxembourg),"We wish to remain what we are.
(Luxembourg)",43
North Korea,nation,,Prosperous and great country.,(North Korea),"Prosperous and great country.
(North Korea)",43
Republic of Biafra,nation,,"Peace, Unity, Freedom.",(Republic of Biafra),"Peace, Unity, Freedom.
(Republic of Biafra)",43
Saint Kitts and Nevis,nation,,Country Above Self.,(Saint Kitts and Nevis),"Country Above Self.
(Saint Kitts and Nevis)",43
South Sudan,nation,,"Justice, Liberty, Prosperity.",(South Sudan),"Justice, Liberty, Prosperity.
(South Sudan)",43
Anglesey,nation / UK counties,Wales,Anglesey mother of Wales.,"(Anglesey, Wales)","Anglesey mother of Wales.
(Anglesey, Wales)",43
Fife,nation / UK counties,Scotland,By virtue and by industry.,"(Fife, Scotland)","By virtue and by industry.
(Fife, Scotland)",43
Lancashire,nation / UK counties,England,In counsel is wisdom.,"(Lancashire, England)","In counsel is wisdom.
(Lancashire, England)",43
Pembroke,nation / UK counties,Wales,Out of unity is strength.,"(Pembroke, Wales)","Out of unity is strength.
(Pembroke, Wales)",43
District of Columbia,nation / US state,US,Justice for All.,"(District of Columbia, US)","Justice for All.
(District of Columbia, US)",43
Louisiana,nation / US state,US,"Union, justice, confidence.","(Louisiana, US)","Union, justice, confidence.
(Louisiana, US)",43
Order of the Dannebrog ,order,,God and the King.,(Order of the Dannebrog ),"God and the King.
(Order of the Dannebrog )",43
University of the West Indies,university,,Light rising from the West.,(University of the West Indies),"Light rising from the West.
(University of the West Indies)",59
University of the West of England,university,UK,Light Liberty Learning.,"(University of the West of England, UK)","Light Liberty Learning.
(University of the West of England, UK)",63
University of the Western Cape,university,South Africa,"Look to the future, learn from the past.","(University of the Western Cape, South Africa)","Look to the future, learn from the past.
(University of the Western Cape, South Africa)",87
University of Toronto,university,Canada,As a tree with the passage of time.,"(University of Toronto, Canada)","As a tree with the passage of time.
(University of Toronto, Canada)",67
University of Trás-os-Montes and Upper Douro,university,Portugal,Science and Work to obtain all.,"(University of Trás-os-Montes and Upper Douro, Portugal)","Science and Work to obtain all.
(University of Trás-os-Montes and Upper Douro, Portugal)",88
University of Trinity College,university,Canada,"After struggle, there is a crown.","(University of Trinity College, Canada)","After struggle, there is a crown.
(University of Trinity College, Canada)",73
University of Tulsa,university,US,"Wisdom, Faith, Service.","(University of Tulsa, US)","Wisdom, Faith, Service.
(University of Tulsa, US)",49
University of Twente,university,The Netherlands,"High Tech, Human Touch.","(University of Twente, The Netherlands)","High Tech, Human Touch.
(University of Twente, The Netherlands)",63
University of Uppsala,university,Sweden,Truth through God's mercy and nature.,"(University of Uppsala, Sweden)","Truth through God's mercy and nature.
(University of Uppsala, Sweden)",69
University of Venda,university,South Africa,Knowledge is Precious.,"(University of Venda, South Africa)","Knowledge is Precious.
(University of Venda, South Africa)",58
University of Venice (Ca' Foscari),university,Italy,University of the Venices in Foscari's house.,"(University of Venice (Ca' Foscari), Italy)","University of the Venices in Foscari's house.
(University of Venice (Ca' Foscari), Italy)",89
University of Vermont,university,US,Through Studies and Upright Affairs.,"(University of Vermont, US)","Through Studies and Upright Affairs.
(University of Vermont, US)",64
University of Victoria,university,Canada,Let there be light.,"(University of Victoria, Canada)","Let there be light.
(University of Victoria, Canada)",52
"University of Victoria, British Columbia",university,Canada,A multitude of the wise is the health of the world.,"(University of Victoria, British Columbia, Canada)","A multitude of the wise is the health of the world.
(University of Victoria, British Columbia, Canada)",102
University of Waikato,university,New Zealand,For the people.,"(University of Waikato, New Zealand)","For the people.
(University of Waikato, New Zealand)",52
University of Wales,university,UK,The best inspiration is truth.,"(University of Wales, UK)","The best inspiration is truth.
(University of Wales, UK)",56
University of Wales College of Medicine,university,UK,Knowledge enables cures.,"(University of Wales College of Medicine, UK)","Knowledge enables cures.
(University of Wales College of Medicine, UK)",70
"University of Wales, Newport",university,UK,"Arts, science and engineering.","(University of Wales, Newport, UK)","Arts, science and engineering.
(University of Wales, Newport, UK)",65
32d Aviation Group ,military,US,Talons of Victory.,"(32d Aviation Group, US)","Talons of Victory.
(32d Aviation Group, US)",43
37th Armor Regiment ,military,US,Courage Conquers.,"(37th Armor Regiment, US)","Courage Conquers.
(37th Armor Regiment, US)",43
96th Test Wing ,military,US,It is Always the Hour.,"(96th Test Wing, US)","It is Always the Hour.
(96th Test Wing, US)",43
Dacorum,cities,England,The Borough of Dacorum.,"(Dacorum, England)","The Borough of Dacorum.
(Dacorum, England)",42
Dartford,cities,England,Let Dartford Flourish.,"(Dartford, England)","Let Dartford Flourish.
(Dartford, England)",42
Grand Rapids,cities,U.S.,Strength in activity.,"(Grand Rapids, U.S.)","Strength in activity.
(Grand Rapids, U.S.)",42
Greenwich,cities,England,We Govern by Serving.,"(Greenwich, England)","We Govern by Serving.
(Greenwich, England)",42
Hertsmere,cities,England,Do Well And Fear Not.,"(Hertsmere, England)","Do Well And Fear Not.
(Hertsmere, England)",42
High Wycombe,cities,England,Industry enriches.,"(High Wycombe, England)","Industry enriches.
(High Wycombe, England)",42
Jakarta,cities,Indonesia,Victory and glorious.,"(Jakarta, Indonesia)","Victory and glorious.
(Jakarta, Indonesia)",42
Leeds,cities,England,For the king and the law.,"(Leeds, England)","For the king and the law.
(Leeds, England)",42
Lerwick,cities,Scotland,Dispecta est et Thule.,"(Lerwick, Scotland)","Dispecta est et Thule.
(Lerwick, Scotland)",42
Oldham,cities,England,Have courage to be wise.,"(Oldham, England)","Have courage to be wise.
(Oldham, England)",42
Reading,cities,England,From God and the Queen.,"(Reading, England)","From God and the Queen.
(Reading, England)",42
Empire of Brazil,nation,,Independence or Death!.,(Empire of Brazil),"Independence or Death!.
(Empire of Brazil)",42
Equatorial Guinea,nation,,"Unity, Peace, Justice.",(Equatorial Guinea),"Unity, Peace, Justice.
(Equatorial Guinea)",42
Guinea-Bissau,nation,,"Unity, Struggle, Progress.",(Guinea-Bissau),"Unity, Struggle, Progress.
(Guinea-Bissau)",42
Senegal,nation,,"One people, one goal, one faith.",(Senegal),"One people, one goal, one faith.
(Senegal)",42
Transylvania,nation,,The Land Beyond the Forest.,(Transylvania),"The Land Beyond the Forest.
(Transylvania)",42
New Brunswick,nation / Canada state,Canada,Hope was restored.,"(New Brunswick, Canada)","Hope was restored.
(New Brunswick, Canada)",42
Flint,nation / UK counties,Wales,The best shield is justice.,"(Flint, Wales)","The best shield is justice.
(Flint, Wales)",42
Leicestershire,nation / UK counties,England,For'ard For'ard.,"(Leicestershire, England)","For'ard For'ard.
(Leicestershire, England)",42
West Midlands,nation / UK counties,England,Forward in Unity.,"(West Midlands, England)","Forward in Unity.
(West Midlands, England)",42
Colorado,nation / US state,US,Nothing without providence.,"(Colorado, US)","Nothing without providence.
(Colorado, US)",42
Georgia,nation / US state,US,"Wisdom, Justice, Moderation.","(Georgia, US)","Wisdom, Justice, Moderation.
(Georgia, US)",42
Maryland,nation / US state,US,"Manly deeds, womanly words.","(Maryland, US)","Manly deeds, womanly words.
(Maryland, US)",42
Oregon,nation / US state,US,She flies with her own wings.,"(Oregon, US)","She flies with her own wings.
(Oregon, US)",42
Legion of Honour ,order,,Honour and Fatherland.,(Legion of Honour ),"Honour and Fatherland.
(Legion of Honour )",42
Order of the White Lion ,order,,Truth Prevails.,(Order of the White Lion ),"Truth Prevails.
(Order of the White Lion )",42
Nacionalista Party,politics,,The nation above all.,(Nacionalista Party),"The nation above all.
(Nacionalista Party)",42
Army Cadet Force,public police/service,,To Inspire and achieve.,(Army Cadet Force),"To Inspire and achieve.
(Army Cadet Force)",42
S.S. Lazio,sport,,In harmony small things grew.,(S.S. Lazio),"In harmony small things grew.
(S.S. Lazio)",42
Sport Lisboa e Benfica,sport,,"Out of many, one.",(Sport Lisboa e Benfica),"Out of many, one.
(Sport Lisboa e Benfica)",42
"University of Wales, Trinity Saint David",university,UK,The Word of God is the best learning.,"(University of Wales, Trinity Saint David, UK)","The Word of God is the best learning.
(University of Wales, Trinity Saint David, UK)",84
University of Warwick,university,UK,Mind over matter.,"(University of Warwick, UK)","Mind over matter.
(University of Warwick, UK)",45
University of Washington,university,US,Let there be light.,"(University of Washington, US)","Let there be light.
(University of Washington, US)",50
University of Waterloo,university,Canada,In harmony with truth.,"(University of Waterloo, Canada)","In harmony with truth.
(University of Waterloo, Canada)",55
University of Winchester,university,UK,Wisdom and Knowledge.,"(University of Winchester, UK)","Wisdom and Knowledge.
(University of Winchester, UK)",52
University of Windsor,university,Canada,"Goodness, discipline, knowledge.","(University of Windsor, Canada)","Goodness, discipline, knowledge.
(University of Windsor, Canada)",64
University of Winnipeg,university,Canada,Let Light and Truth Flourish.,"(University of Winnipeg, Canada)","Let Light and Truth Flourish.
(University of Winnipeg, Canada)",62
University of Wisconsin - Madison,university,US,"The divine within the universe, however manifested, is my light.","(University of Wisconsin - Madison, US)","The divine within the universe, however manifested, is my light.
(University of Wisconsin - Madison, US)",104
University of Wisconsin-Madison,university,US,"The divine within the universe, however manifested, is my light.","(University of Wisconsin-Madison, US)","The divine within the universe, however manifested, is my light.
(University of Wisconsin-Madison, US)",102
University of Wisconsin-River Falls,university,US,Where the Free Spirit Prevails.,"(University of Wisconsin-River Falls, US)","Where the Free Spirit Prevails.
(University of Wisconsin-River Falls, US)",73
University of Wolverhampton,university,UK,Innovation and Opportunity.,"(University of Wolverhampton, UK)","Innovation and Opportunity.
(University of Wolverhampton, UK)",61
University of Worcester,university,UK,Aspire to inspire.,"(University of Worcester, UK)","Aspire to inspire.
(University of Worcester, UK)",48
University of Zimbabwe,university,Zimbabwe,"Knowledge, diligence, integrity.","(University of Zimbabwe, Zimbabwe)","Knowledge, diligence, integrity.
(University of Zimbabwe, Zimbabwe)",67
14th Aviation Battalion ,military,US,Versatility.,"(14th Aviation Battalion, US)","Versatility.
(14th Aviation Battalion, US)",42
15th Aviation Group ,military,US,Flying Mustangs.,"(15th Aviation Group, US)","Flying Mustangs.
(15th Aviation Group, US)",42
173th Airborne Brigade ,military,US,Sky Soldiers.,"(173th Airborne Brigade, US)","Sky Soldiers.
(173th Airborne Brigade, US)",42
25th Aviation ,military,US,We Fly for the Troops.,"(25th Aviation, US)","We Fly for the Troops.
(25th Aviation, US)",42
301st Air Refueling Wing ,military,US,Who Fears?.,"(301st Air Refueling Wing, US)","Who Fears?.
(301st Air Refueling Wing, US)",42
302d Airlift Wing ,military,US,Just and Resolute.,"(302d Airlift Wing, US)","Just and Resolute.
(302d Airlift Wing, US)",42
32d Armor Regiment ,military,US,Victory or Death.,"(32d Armor Regiment, US)","Victory or Death.
(32d Armor Regiment, US)",42
40th Armored Brigade ,military,US,Mighty in Arms.,"(40th Armored Brigade, US)","Mighty in Arms.
(40th Armored Brigade, US)",42
Broxbourne,cities,England,"One heart, one way.","(Broxbourne, England)","One heart, one way.
(Broxbourne, England)",41
Colchester,cities,England,"No Cross, no Crown.","(Colchester, England)","No Cross, no Crown.
(Colchester, England)",41
Glasgow,cities,Scotland,Let Glasgow Flourish.,"(Glasgow, Scotland)","Let Glasgow Flourish.
(Glasgow, Scotland)",41
Kaunas,cities,Europe,"Love justice, landlords.","(Kaunas, Europe)","Love justice, landlords.
(Kaunas, Europe)",41
Palm Bay,cities,U.S.,A Perfect Place to Grow.,"(Palm Bay, U.S.)","A Perfect Place to Grow.
(Palm Bay, U.S.)",41
Rotterdam,cities,Europe,Stronger by struggle.,"(Rotterdam, Europe)","Stronger by struggle.
(Rotterdam, Europe)",41
Runnymede,cities,England,In Freedom We Serve.,"(Runnymede, England)","In Freedom We Serve.
(Runnymede, England)",41
Toronto,cities,Canada,Diversity Our Strength.,"(Toronto, Canada)","Diversity Our Strength.
(Toronto, Canada)",41
Woking,cities,England,In faith and diligence.,"(Woking, England)","In faith and diligence.
(Woking, England)",41
BBC,company,,Nation Shall Speak Peace Unto Nation.,(BBC),"Nation Shall Speak Peace Unto Nation.
(BBC)",43
BMW,company,,Sheer Driving Pleasure.,(BMW),"Sheer Driving Pleasure.
(BMW)",29
Côte d'Ivoire,nation,,"Unity, Discipline, Labor.",(Côte d'Ivoire),"Unity, Discipline, Labor.
(Côte d'Ivoire)",41
East Timor,nation,,"Honour, homeland and people.",(East Timor),"Honour, homeland and people.
(East Timor)",41
Netherlands Antilles,nation,,United in Freedom.,(Netherlands Antilles),"United in Freedom.
(Netherlands Antilles)",41
North Borneo,nation,,I undertake and I achieve.,(North Borneo),"I undertake and I achieve.
(North Borneo)",41
Rhodesia,nation,,May she be worthy of the name.,(Rhodesia),"May she be worthy of the name.
(Rhodesia)",41
Somalia,nation,,"Go forward, and never backward.",(Somalia),"Go forward, and never backward.
(Somalia)",41
Tonga,nation,,God and Tonga are my Inheritance.,(Tonga),"God and Tonga are my Inheritance.
(Tonga)",41
Nunavut,nation / Canada state,Canada,"Our land, our strength.","(Nunavut, Canada)","Our land, our strength.
(Nunavut, Canada)",41
Gloucestershire,nation / UK counties,England,Ever forwards.,"(Gloucestershire, England)","Ever forwards.
(Gloucestershire, England)",41
Gwynedd,nation / UK counties,Wales,The strength of Gwynedd.,"(Gwynedd, Wales)","The strength of Gwynedd.
(Gwynedd, Wales)",41
Humberside,nation / UK counties,England,United we Flourish.,"(Humberside, England)","United we Flourish.
(Humberside, England)",41
